City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Fare,PF,-16.7,-151.0167,77.56,71,94,24.23,overcast clouds
1,Geraldton,AU,-28.7667,114.6,64.81,77,100,8.05,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,32.11,93,100,2.3,overcast clouds
3,Veraval,IN,20.9,70.3667,83.39,80,99,9.08,overcast clouds
4,Ushuaia,AR,-54.8,-68.3,31.66,80,0,1.14,clear sky
5,Kaduqli,SD,11.0167,29.7167,70.07,82,100,3.91,overcast clouds
6,Quatre Cocos,MU,-20.2078,57.7625,70.09,79,52,8.77,light rain
7,Pierre,US,44.3683,-100.351,66.85,67,75,10.36,broken clouds
8,Pocone,BR,-16.2567,-56.6228,77.47,32,20,6.08,few clouds
9,Hobart,AU,-42.8794,147.3294,51.26,77,40,6.91,scattered clouds
10,Nikolskoye,RU,59.7035,30.7861,57.78,91,100,5.01,overcast clouds
11,Pokhara,NP,28.2333,83.9833,80.28,75,100,2.66,overcast clouds
12,Lander,US,42.833,-108.7307,58.01,93,100,5.75,overcast clouds
13,Atuona,PF,-9.8,-139.0333,77.04,76,26,19.84,scattered clouds
14,Xiongzhou,CN,25.1167,114.3,94.86,49,81,2.71,broken clouds
15,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,87,100,18.41,light rain
16,Provideniya,RU,64.3833,-173.3,49.73,92,78,10.8,light rain
17,New Norfolk,AU,-42.7826,147.0587,50.92,63,95,2.91,overcast clouds
18,Bredasdorp,ZA,-34.5322,20.0403,56.79,85,98,19.46,overcast clouds
19,Qandala,SO,11.472,49.8728,88.45,49,7,7.23,clear sky
20,Vostok,RU,46.4856,135.8833,80.19,52,98,4.56,overcast clouds
21,Kimberley,ZA,-28.7323,24.7623,51.49,50,0,12.66,clear sky
22,Torbay,CA,47.6666,-52.7314,64.27,91,20,10.36,few clouds
23,Havoysund,NO,70.9963,24.6622,50.23,78,100,11.03,light rain
24,Urucui,BR,-7.2294,-44.5561,77.58,31,5,7.31,clear sky
25,Rikitea,PF,-23.1203,-134.9692,69.87,65,100,23.31,overcast clouds
26,Olafsvik,IS,64.8945,-23.7142,51.31,87,100,13.2,overcast clouds
27,Valparaiso,CL,-33.0393,-71.6273,53.47,100,100,9.22,overcast clouds
28,Tabou,CI,4.423,-7.3528,72.77,75,3,5.64,clear sky
29,Pevek,RU,69.7008,170.3133,31.57,95,100,14.67,overcast clouds
30,Mataura,NZ,-46.1927,168.8643,36.48,92,100,3.83,overcast clouds
31,Waynesville,US,35.4887,-82.9887,67.78,94,99,3.0,overcast clouds
32,Bathsheba,BB,13.2167,-59.5167,79.41,98,75,20.71,broken clouds
33,Hilo,US,19.7297,-155.09,82.27,83,40,8.05,scattered clouds
34,Yellowknife,CA,62.456,-114.3525,59.56,94,75,4.61,broken clouds
35,Saskylakh,RU,71.9167,114.0833,54.5,55,100,9.84,overcast clouds
36,Hami,CN,42.8,93.45,94.78,11,87,18.16,overcast clouds
37,Georgetown,MY,5.4112,100.3354,85.95,75,20,9.22,few clouds
38,Palimbang,PH,6.2106,124.1894,82.11,81,99,6.64,moderate rain
39,Bubaque,GW,11.2833,-15.8333,76.46,91,100,11.81,moderate rain
40,Saint-Pierre,RE,-21.3393,55.4781,69.91,66,100,4.61,overcast clouds
41,Saurimo,AO,-9.6608,20.3916,56.88,41,1,5.41,clear sky
42,Coahuayana,MX,18.7333,-103.6833,75.31,94,100,2.46,overcast clouds
43,Praia Da Vitoria,PT,38.7333,-27.0667,70.75,100,75,14.43,light rain
44,Sandpoint,US,48.2766,-116.5533,65.43,62,0,4.61,clear sky
45,Talnakh,RU,69.4865,88.3972,56.21,68,12,7.63,few clouds
46,Porto Novo,BJ,6.4965,2.6036,75.02,90,10,5.37,clear sky
47,Sorland,NO,67.667,12.6934,51.66,82,100,22.24,overcast clouds
48,Mackay,AU,-21.15,149.2,68.61,64,99,14.81,overcast clouds
49,Havre-Saint-Pierre,CA,50.2334,-63.5986,61.16,88,100,2.3,overcast clouds
50,Calgary,CA,51.0501,-114.0853,66.56,45,20,6.91,few clouds
51,Puerto Ayora,EC,-0.7393,-90.3518,68.56,93,84,5.01,broken clouds
52,Abu Samrah,SY,35.3029,37.1841,73.74,69,0,15.68,clear sky
53,Saint-Georges,GD,12.0564,-61.7485,79.56,83,0,9.66,clear sky
54,Cobija,BO,-11.0267,-68.7692,71.42,98,100,1.43,overcast clouds
55,Lompoc,US,34.6391,-120.4579,65.01,84,0,21.99,clear sky
56,Mahebourg,MU,-20.4081,57.7,71.89,78,75,9.22,broken clouds
57,Santo Stino Di Livenza,IT,45.735,12.6808,73.81,92,100,6.06,light rain
58,Hermanus,ZA,-34.4187,19.2345,55.8,84,86,17.07,overcast clouds
59,Barrow,US,71.2906,-156.7887,39.22,81,20,6.91,few clouds
60,Molteno,ZA,-31.3968,26.3625,41.14,77,30,5.19,scattered clouds
61,Albany,US,42.6001,-73.9662,77.59,91,15,3.53,few clouds
62,Port Alfred,ZA,-33.5906,26.891,57.18,94,100,5.99,light rain
63,Yanggu,CN,36.1106,115.7753,93.6,58,98,14.5,overcast clouds
64,Chuy,UY,-33.6971,-53.4616,47.26,86,100,6.35,overcast clouds
65,San Cristobal,VE,7.7669,-72.225,68.18,93,83,2.57,broken clouds
66,Dikson,RU,73.5069,80.5464,41.23,97,100,9.31,overcast clouds
67,Port Hardy,CA,50.6996,-127.4199,62.78,72,0,0.0,fog
68,Sitka,US,57.0531,-135.33,57.09,94,100,13.8,mist
69,Pointe Michel,DM,15.25,-61.3833,80.71,82,100,15.61,overcast clouds
70,Qaanaaq,GL,77.484,-69.3632,36.28,67,10,2.95,clear sky
71,Imeni Stepana Razina,RU,54.8932,44.2963,70.65,61,10,3.8,clear sky
72,Kruisfontein,ZA,-34.0033,24.7314,55.89,90,100,17.69,light rain
73,Dargaville,NZ,-35.9333,173.8833,56.37,97,100,6.04,moderate rain
74,Sabha,LY,27.0377,14.4283,80.33,36,0,12.48,clear sky
75,Avarua,CK,-21.2078,-159.775,75.25,64,20,13.8,few clouds
76,Cape Town,ZA,-33.9258,18.4232,56.1,84,0,2.3,clear sky
77,Ribeira Grande,PT,38.5167,-28.7,74.91,83,37,14.27,light rain
78,Saint George,US,37.1041,-113.5841,91.99,25,0,10.36,clear sky
79,Kargasok,RU,59.0556,80.8572,68.04,62,78,7.72,broken clouds
80,Belyy Yar,RU,53.6039,91.3903,71.49,47,0,4.47,clear sky
81,Asau,RO,46.4333,26.4,65.32,77,21,5.28,few clouds
82,Castro,BR,-24.7911,-50.0119,52.16,97,100,7.43,overcast clouds
83,Roald,NO,62.5833,6.1333,54.09,82,40,9.22,scattered clouds
84,Henties Bay,NA,-22.116,14.2845,55.29,90,52,4.76,broken clouds
85,Chokurdakh,RU,70.6333,147.9167,54.54,42,97,10.27,overcast clouds
86,Mar Del Plata,AR,-38.0023,-57.5575,48.09,74,75,3.44,light rain
87,Butaritari,KI,3.0707,172.7902,81.61,77,88,15.7,light rain
88,Longyearbyen,SJ,78.2186,15.6401,48.04,93,75,6.91,broken clouds
89,Loreto,MX,22.2667,-101.9667,62.58,69,38,21.21,scattered clouds
90,Sao Filipe,CV,14.8961,-24.4956,78.24,85,93,2.35,light rain
91,Victoria,HK,22.2855,114.1577,92.97,74,60,13.0,broken clouds
92,Rafai,CF,4.95,23.9167,67.53,99,97,2.66,overcast clouds
93,Sladkovo,RU,55.5284,70.3385,68.5,73,70,8.72,broken clouds
94,Fillmore,US,43.6666,-92.1002,72.82,100,75,0.0,broken clouds
95,Kahului,US,20.8947,-156.47,86.02,63,20,10.36,few clouds
96,Aurangabad,IN,19.8833,75.3333,78.89,78,75,4.61,haze
97,Bluff,NZ,-46.6,168.3333,36.81,56,97,15.37,overcast clouds
98,Novyy Urengoy,RU,66.0833,76.6333,63.41,56,100,9.89,overcast clouds
99,East London,ZA,-33.0153,27.9116,58.14,100,75,12.66,drizzle
100,Busselton,AU,-33.65,115.3333,58.82,59,7,10.02,clear sky
101,Pisco,PE,-13.7,-76.2167,59.05,88,20,4.61,few clouds
102,Lebu,CL,-37.6167,-73.65,49.01,92,100,1.77,overcast clouds
103,Mandera,KE,3.9366,41.867,71.4,64,44,13.06,scattered clouds
